4,My husband and I LOVE Red Devil. We eat Ina few times a month and order take out at least twice a week. Red Devil never fails to deliver an excellent meal. We generally eat dinner late (after 8pm) so we rarely wait for a table. Dinner hours expect a wait  but definitely well worth every minute!! The take out guys are awesome!! The entire menu is delicious! You can't go wrong with red devil. Enjoy!!
0,Their food size is pretty good one . But honestly the dumplings we got were way worse than my home made ones ... Too plain to have it . My order was pork stone rice which was super plain ...totally killed our appetite that night . Hope they can boost their food flavor up.
2,My mom and I go here quite a bit when we come to the Bellagio to look at the garden display.  The line was not too long but we probably waited about 20 minutes for a table.  Not too bad for this place.  \n\nIt did take a bit for someone to come over to the table.  The drink person took our drink order and then finally the waitress came to take our order.\n\nI had the Thai salad with shrimp.  My mom had the bbq bacon burger with fries.  My salad was really good.  The shrimp were just okay.  They were grilled which was nice but they were not very flavorful shrimp.  The rest of the salad was really tasty though.  It would have been nice though to bring the bread before the entrees as we barely touched the bread and it went to waste.  My mom enjoyed her burger.  It was bit messy but she like the taste.  The fries were good too.  \n\nWe had to flag the waitress down to get our check but she did get us refills for our sodas.  Even though the service was not that good we will probably be back as the food is pretty good.
1,There are a million breakfast places in Montreal that serve this stuff (or better) for less than Chez Cora charges...\nIf you don't take chances on other places  for sure you'll think this is the best breakfast ever...
2,I've been to the Boardwalk Billy's near UNCC a few times but this was our first time here.  It is an average place with average food  but our waitress was very nice.  We though this place would be packed for the AFC Wild Card game but it was pretty empty.  This location is also much smaller than the UNCC location.  There was nothing inherently wrong with the food except maybe the slaw having too much of a vinegar taste to it.  Fried shrimp  steampot  and fish tacos were all par.  They don't have too much craft beer on tap except for Fat Tire  but that's better than nothing.  We may go again if in the area  but also may not make a special trip to go.
4,How did I know when I found the perfect carpet and tile cleaner for my new home?? The guy brought out a black light to inspect the carpet when he came for the consultation! That's right  a black light!!!\n\nMy husband and I found a home to rent with a pool. I am totally against having carpet in a home and  unfortunately  the entire upstairs is carpeted. My husband could not see past the pool  to what may be living in the carpet from past tenants  so I begged the listing agent to have the carpet replaced. That was a big fat no. The carpets were so dirty they were black (supposed to be beige) and the listing agent said they would have them professionally cleaned and I would be pleased. Liar. We signed the lease  went back in the home (after the cleaning) and the carpet was beige again  but was \"crunchy\". My husband agreed to have them re-cleaned by the company of my choice to make me happy. After a quick search on Yelp I found Bradley's Carpet Cleaning. Brian and his brother  Kurt  met us at the house and were both SO super nice. He ran his hand on the carpet to see how crunchy it was and dust started coming out of the carpet like a dust storm. He thought  at first  it was probably residue from the prior carpet cleaner and then whipped out the black light. This was like a slow motion horror show for my husband; he couldn't get across the room quick enough to try to stop him. I am a huge germaphobe and my husband knew whatever was lurking in the carpet could keep me from moving in. My horrors were confirmed.... Either a crazy cat lady with 20 cats lived there or a family with 2 non house broken Saint Bernard's.  Now  I am not insensitive to those with pets  I get it. I have 3 of my own  but they are housebroken and I would like to keep them that way. My fears started towards them \"marking their territory\" if they could smell urine from another animal. Brian was just as disgusted as I was but seemed confident he could help me. \nBrian went over ways I could pre treat the carpet myself with commercial grade enzymes  liquid alive  etc to save money and emailed me estimates for 3 different processes he could do for my carpets in different price points. He even gave me a store and contact person to purchase all the products! I never felt he was trying to up sell me. My husband was going out of town for work  and I was left behind to pack the old house up myself so I went with a treatment option that included them doing all the work over a few days. This is where it gets impressive...\nI found a few crickets in the garage and know they are a food source for scorpions. Our old house had a ton of them and I am hoping to not have the same issue again so I called an exterminator. They called me with a last minute opening and I left work to run and meet them at the house. This was the day Bradley's Carpet Cleaning was coming out to do the initial pretreatment and had no idea I would be stopping by. I left a key for them in a lock box to come and go as they please while they treated the floors so I wouldn't have to be there every time. When I walked in  they were well on their way working on the carpet. They were both on their hands and knees- black lights in their left hand  treatment solution in their right  making sure to get every single spot! At one point  I walked in when Brian was on the stairs and he was scrubbing the front of each stair with treatment solution! Not just the tops! They paid such close attention to detail  it was as if they were going to live there themselves! \nBasically  they cleaned twice after treating the carpet  which was three times overall and I am confident they got them as clean as possible and the only other option would be to totally replace the carpet. Since it's a rental this doesn't make sense for us. Unfortunately  we were still getting dust when we ran our hands across certain areas. Brian stayed on the case and eventually figured out it was tons and tons and tons of carpet fresh from the old tenants! He emailed me his findings and I replied with a passing comment that now I was no longer worried my pets would mark the carpet  but they are both habitual paw lickers and now I was concerned they would end up poisoned by carpet fresh. I envisioned my life for the next year constantly washing their paws! Not even a  1/2 hour later Brian responded- he had contacted WD-40  the makers of carpet fresh  to inquire about it possibly being hazardous to my dog's health and the best way to get it out of the carpet. This floored me  talk about going above and beyond! In case anyone was wondering  it is non toxic to animals! Turns out  Brian is a huge animal lover and his wife is a pet sitter! \nHe also did an awesome job on the tile and grout. It looks brand new! We will definitely hire Bradley's Carpet Cleaning in the future and I have recommended them to everyone I know. My company has also now hired them to clean our lobby and office areas!
2,Great service and clean place   as for the food it was around the typical chinese food buffet style  they did offer a mongolian and sushi section.\nThey had quite a few isles with a variety of different items  some you don't find at a  regular Chinese buffet.
3,Make sure you head over to the Bellagio to check out the beautiful botanical gardens.  When I was here  the Icelandic poppies were in bloom and it filled most of the lobby with a great flowery smell that cancelled out the smoke from the casino.  The butterfly garden and fountains also provided awesome tourist attractions and picture taking spots.  Make sure you bring plenty of patience along with you because there are always massive crowds in the Bellagio.\n\nThe Bellagio has classy architecture  beautiful fountains and a unique botanical garden that all can enjoy but at times the Bellagio seemed more like Disneyland than a posh Vegas hotel/casino.  It is clearly stated on the Bellagio website that unattended children and strollers are absolutely not allowed in the Bellagio.  However  when I was at the Bellagio there were strollers galore and marauding children all over the place.  The Bellagio could do much better in living up to their five star reputation and create a more adult friendly atmosphere by adhering to their own self stated policy involving children.
3,Bouchon  this is such a tough rating. I really struggled with how to rate this restaurant. I begged my husband to come here. I saw this restaurant on Anthony Bourdain and  he said that the fries at Bouchon were better than at his restaurant. The atmosphere was great.\nWe went in for breakfast and I ordered the bread pudding French toast. It was bland. It wasn't bad but it really isn't worth mentioning or trying. I love bread pudding and I love French toast so I thought it would be amazing. My husband on the other hand ordered the sourdough waffle...it was AMAZING.  It was so good I wanted to eat it slowly so it would last. We went back the next day and ordered the waffles again...they were wonderful.\nMy issues  neither the waffle nor the bread pudding came with a side and for the price and portion size it should come with a side. As for the fries  well we ordered a side and they were so overcooked we sent them back. They brought us out another side of fries and they weren't much better. They were too hard and too crispy. If you like the small  hard and crispy fries these may be for you. But I didn't think they were very good. \nThe service was also good. So with how wonderful the waffles were but with how average almost everything else is... I still have to give this place 4. More than I remember any of the average aspects....I remember how wonderful those waffles taste.
1,Every year we celebrate joint birthdays with our best friends at a SPECIAL restaurant. Over the years  we have always enjoyed our dining  experiences- that is until we went to Del Frisco this year. My friend and I always order a rib eye or NY strip. Every so often  we'll have prime rib. Our wives invariably order lobster  etc.\nThis evening  the waitress convicted us to order their special 12oz. Rib eye and crab cake including veggies and dessert. We thought it strange when she told us we could get the promotion for only $99 per couple. We questioned her about the quality of the meat and amount of filler in the crab cakes. She assured our every skepticism  so we agreed to the special.\nThe steak was thin and so over seasoned that my wife  who never complains  called for the waitress. An assistant manager came over and was very apologetic  replaced her steak  and sent over the manager. When we questioned him about the steak quality  he began to explain about butchering. Since we weren't interested in his explanation  he  comped the meal. We thought that was the right thing to do under the circumstances. \nWhen I go to a highly touted Restaurant  the last thing I was is to be comped because the steak is not top quality. It is an admission of their failure to live up to the billing.
